1, private, terralith:alpha_islands, MONSTER, minecraft:spider, 80, 4, 4
2, private, terralith:alpha_islands, MONSTER, minecraft:zombie, 80, 4, 4
3, private, terralith:alpha_islands, MONSTER, minecraft:skeleton, 80, 4, 4
4, private, terralith:alpha_islands, MONSTER, minecraft:creeper, 80, 4, 4
5, private, terralith:alpha_islands, MONSTER, minecraft:slime, 80, 4, 4
6, private, terralith:alpha_islands, MONSTER, mutantmonsters:mutant_creeper, 5, 1, 1
7, private, terralith:alpha_islands, MONSTER, mutantmonsters:mutant_skeleton, 5, 1, 1
8, private, terralith:alpha_islands, MONSTER, mutantmonsters:mutant_zombie, 5, 1, 1
9, private, terralith:alpha_islands, MONSTER, majruszsdifficulty:cursed_armor, 30, 1, 3
10, private, terralith:alpha_islands, MONSTER, tconstruct:earth_slime, 80, 2, 4
11, private, terralith:alpha_islands, MONSTER, majruszsdifficulty:illusioner, 8, 1, 1
12, private, terralith:alpha_islands, MONSTER, tconstruct:sky_slime, 80, 2, 4
13, private, terralith:alpha_islands, MONSTER, majruszsdifficulty:tank, 5, 1, 1
14, private, terralith:alpha_islands, CREATURE, minecraft:sheep, 12, 2, 2
15, private, terralith:alpha_islands, CREATURE, minecraft:pig, 10, 2, 2
16, private, terralith:alpha_islands, CREATURE, minecraft:chicken, 10, 2, 2
17, private, terralith:alpha_islands, CREATURE, minecraft:cow, 8, 2, 2
18, private, terralith:alpha_islands, CREATURE, minecraft:wolf, 8, 2, 2
19, private, terralith:alpha_islands, CREATURE, distantfriends:friend, 20, 1, 2
20, private, terralith:alpha_islands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
21, private, terralith:alpha_islands, UNDERGROUND_WATER_CREATURE, minecraft:axolotl, 10, 4, 6
22, private, terralith:alpha_islands, WATER_AMBIENT, tide:bass, 10, 2, 3
23, private, terralith:alpha_islands, WATER_AMBIENT, tide:bluegill, 10, 2, 3
24, private, terralith:alpha_islands, WATER_AMBIENT, tide:catfish, 8, 2, 2
