1, terralith:mage_tower_spring, HEADING, header:ignore, 0, 0, 0
2, dungeons_arise:undead_pirate_ship, HEADING, header:ignore, 0, 0, 0
3, the_bumblezone:gazebuzz_cluster, HEADING, header:ignore, 0, 0, 0
4, evenbetterarcheology:fossil_chicken, HEADING, header:ignore, 0, 0, 0
5, ad_astra:mars_temple, HEADING, header:ignore, 0, 0, 0
6, ctov:large/village_desert_oasis, HEADING, header:ignore, 0, 0, 0
7, evenbetterarcheology:underwater_2, HEADING, header:ignore, 0, 0, 0
8, minecraft:village_taiga, HEADING, header:ignore, 0, 0, 0
9, ctov:medium/village_mesa, HEADING, header:ignore, 0, 0, 0
10, dungeons_arise:keep_kayra, HEADING, header:ignore, 0, 0, 0
11, betternether:spawn_altar_ladder, HEADING, header:ignore, 0, 0, 0
12, betterend:megalake, HEADING, header:ignore, 0, 0, 0
13, terralith:mage_complex, HEADING, header:ignore, 0, 0, 0
14, paradise_lost:vault, HEADING, header:ignore, 0, 0, 0
15, natures_spirit:village_coconut, HEADING, header:ignore, 0, 0, 0
16, farmers_structures:quark_glimer, HEADING, header:ignore, 0, 0, 0
17, ctov:small/village_savanna, HEADING, header:ignore, 0, 0, 0
18, ctov:pillager_outpost_mountain, HEADING, header:ignore, 0, 0, 0
19, ctov:pillager_outpost_mountain, MONSTER, minecraft:pillager, 5, 1, 1
20, ctov:pillager_outpost_mountain, MONSTER, minecraft:evoker, 5, 1, 1
21, ctov:pillager_outpost_mountain, MONSTER, minecraft:vindicator, 5, 1, 1
22, ctov:pillager_outpost_mountain, MONSTER, minecraft:witch, 5, 1, 1
23, ad_astra:lunarian_village, HEADING, header:ignore, 0, 0, 0
24, evenbetterarcheology:tumulus_grassy, HEADING, header:ignore, 0, 0, 0
25, friendsandfoes:citadel, HEADING, header:ignore, 0, 0, 0
26, friendsandfoes:citadel, MONSTER, minecraft:blaze, 5, 1, 2
27, ctov:pillager_outpost_taiga, HEADING, header:ignore, 0, 0, 0
28, ctov:pillager_outpost_taiga, MONSTER, minecraft:pillager, 5, 1, 1
29, ctov:pillager_outpost_taiga, MONSTER, minecraft:evoker, 5, 1, 1
30, ctov:pillager_outpost_taiga, MONSTER, minecraft:vindicator, 5, 1, 1
31, ctov:pillager_outpost_taiga, MONSTER, minecraft:witch, 5, 1, 1
32, bettermineshafts:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
33, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
34, minecraft:village_snowy, HEADING, header:ignore, 0, 0, 0
35, evenbetterarcheology:temple_jungle, HEADING, header:ignore, 0, 0, 0
36, terralith:igloo, HEADING, header:ignore, 0, 0, 0
37, terralith:witch_hut, HEADING, header:ignore, 0, 0, 0
38, terralith:witch_hut, MONSTER, minecraft:witch, 5, 1, 2
39, terralith:witch_hut, CREATURE, minecraft:cat, 5, 1, 1
40, betterwitchhuts:witch_circle, HEADING, header:ignore, 0, 0, 0
41, betterwitchhuts:witch_circle, MONSTER, minecraft:witch, 5, 1, 1
42, betterwitchhuts:witch_circle, CREATURE, minecraft:cat, 5, 1, 1
43, the_bumblezone:ancient_hoops, HEADING, header:ignore, 0, 0, 0
44, ctov:large/village_snowy_igloo, HEADING, header:ignore, 0, 0, 0
45, dungeons_arise:merchant_campsite, HEADING, header:ignore, 0, 0, 0
46, spectrum:lizard_den/shalerite, HEADING, header:ignore, 0, 0, 0
47, spectrum:lizard_den/shalerite, CREATURE, spectrum:lizard, 5, 1, 2
48, terralith:desert_outpost, HEADING, header:ignore, 0, 0, 0
49, terralith:desert_outpost, MONSTER, minecraft:pillager, 5, 1, 1
50, friendsandfoes:illusioner_shack, HEADING, header:ignore, 0, 0, 0
51, friendsandfoes:illusioner_shack, MONSTER, minecraft:illusioner, 5, 1, 1
